Period,Ranking,Program,Rate
Year 2010 Month 8 Week 5,7,SBS대하드라마(자이언트),21.7
Year 2010 Month 9 Week 1,5,주말극장(이웃집웬수),22.3
Year 2010 Month 9 Week 1,6,특별기획(인생은아름다워),22.1
Year 2010 Month 9 Week 1,7,SBS대하드라마(자이언트),21.5
Year 2010 Month 9 Week 2,4,SBS대하드라마(자이언트),23.4
Year 2010 Month 9 Week 2,6,주말극장(이웃집웬수),22.4
Year 2010 Month 9 Week 2,8,특별기획(인생은아름다워),21.9
Year 2010 Month 9 Week 3,5,SBS대하드라마(자이언트),23.9
Year 2010 Month 9 Week 3,6,특별기획(인생은아름다워),22.4
Year 2010 Month 9 Week 3,7,주말극장(이웃집웬수),21.9
Year 2010 Month 9 Week 4,3,특별기획(인생은아름다워),22.8
Year 2010 Month 9 Week 4,4,주말극장(이웃집웬수),22.6
Year 2010 Month 9 Week 4,7,SBS스포츠축구(U-17여자월드컵결승일본:한국),19.4
Year 2010 Month 9 Week 4,8,SBS대하드라마(자이언트),19.1
Year 2010 Month 10 Week 1,4,주말극장(이웃집웬수),24.1
Year 2010 Month 10 Week 1,6,SBS대하드라마(자이언트),22.7
Year 2010 Month 10 Week 1,7,특별기획(인생은아름다워),22.7
Year 2010 Month 10 Week 2,2,SBS대하드라마(자이언트),23.6
Year 2010 Month 10 Week 2,4,주말극장(이웃집웬수),21.7
Year 2010 Month 10 Week 2,6,특별기획(인생은아름다워),19.8
Year 2010 Month 10 Week 2,7,드라마스페셜(대물),19.8
Year 2010 Month 10 Week 3,1,드라마스페셜(대물),26.3
Year 2010 Month 10 Week 3,3,SBS대하드라마(자이언트),25.9
Year 2010 Month 10 Week 3,5,주말극장(이웃집웬수),22.5
Year 2010 Month 10 Week 3,8,특별기획(인생은아름다워),20.2
Year 2010 Month 10 Week 3,10,순간포착,17.4
Year 2010 Month 10 Week 4,2,SBS대하드라마(자이언트),28.7
Year 2010 Month 10 Week 4,3,드라마스페셜(대물),27.8
Year 2010 Month 10 Week 4,5,주말극장(이웃집웬수),21.8
Year 2010 Month 10 Week 4,6,특별기획(인생은아름다워),19.7
Year 2010 Month 10 Week 4,9,순간포착,16.4
Year 2010 Month 10 Week 5,1,SBS대하드라마(자이언트),28.7
Year 2010 Month 10 Week 5,2,드라마스페셜(대물),26.4
Year 2010 Month 10 Week 5,4,주말극장(이웃집웬수),23.2
Year 2010 Month 10 Week 5,6,특별기획(인생은아름다워),19.7
Year 2010 Month 10 Week 5,10,순간포착,16.6
Year 2010 Month 11 Week 1,1,SBS대하드라마(자이언트),28.9
Year 2010 Month 11 Week 1,3,드라마스페셜(대물),25.2
Year 2010 Month 11 Week 1,5,특별기획(인생은아름다워),19.5
Year 2010 Month 11 Week 1,8,순간포착,16.7
Year 2010 Month 11 Week 2,1,SBS대하드라마(자이언트),29.6
Year 2010 Month 11 Week 2,3,드라마스페셜(대물),26.2
Year 2010 Month 11 Week 2,5,강심장,19.5
Year 2010 Month 11 Week 2,9,순간포착,17.7
Year 2010 Month 11 Week 2,10,특별기획(시크릿가든),16.0
Year 2010 Month 11 Week 3,1,SBS대하드라마(자이언트),29.5
Year 2010 Month 11 Week 3,3,드라마스페셜(대물),25.6
Year 2010 Month 11 Week 3,7,특별기획(시크릿가든),19.9
Year 2010 Month 11 Week 3,9,강심장,17.3
Year 2010 Month 11 Week 4,1,SBS대하드라마(자이언트),29.9
Year 2010 Month 11 Week 4,2,드라마스페셜(대물),26.9
Year 2010 Month 11 Week 4,5,특별기획(시크릿가든),22.3
Year 2010 Month 11 Week 4,9,아침연속극(여자를몰라),17.5
Year 2010 Month 12 Week 1,1,SBS대하드라마(자이언트),32.0
Year 2010 Month 12 Week 1,3,드라마스페셜(대물),25.2
Year 2010 Month 12 Week 1,6,특별기획(시크릿가든),22.3
Year 2010 Month 12 Week 1,10,아침연속극(여자를몰라),18.3
Year 2010 Month 12 Week 2,1,SBS대하드라마(자이언트),35.6
Year 2010 Month 12 Week 2,4,드라마스페셜(대물),26.8
Year 2010 Month 12 Week 2,5,특별기획(시크릿가든),24.9
Year 2010 Month 12 Week 2,9,아침연속극(여자를몰라),18.1
Year 2010 Month 12 Week 3,3,드라마스페셜(대물),26.2
Year 2010 Month 12 Week 3,5,특별기획(시크릿가든),24.2
Year 2010 Month 12 Week 3,6,SBS대기획(아테나전쟁의여신),22.0
Year 2010 Month 12 Week 3,8,아침연속극(여자를몰라),18.4
Year 2010 Month 12 Week 3,9,순간포착,17.3
Year 2010 Month 12 Week 4,4,드라마스페셜(대물),26.2
Year 2010 Month 12 Week 4,5,특별기획(시크릿가든),23.1
Year 2010 Month 12 Week 4,8,SBS대기획(아테나전쟁의여신),19.0
Year 2010 Month 12 Week 4,10,아침연속극(여자를몰라),17.7
Year 2011 Month 1 Week 1,2,특별기획(시크릿가든),26.8
Year 2011 Month 1 Week 1,6,SBS연예대상2부,19.6
Year 2011 Month 1 Week 1,7,놀라운대회스타킹,19.4
Year 2011 Month 1 Week 1,9,SBS대기획(아테나전쟁의여신),18.1
Year 2011 Month 1 Week 1,10,SBS연예대상1부,17.9
Year 2011 Month 1 Week 2,2,특별기획(시크릿가든),29.4
Year 2011 Month 1 Week 2,7,순간포착,18.7
Year 2011 Month 1 Week 2,10,드라마스페셜(싸인),16.9
Year 2011 Month 1 Week 3,1,특별기획(시크릿가든),34.1
Year 2011 Month 1 Week 3,10,순간포착,16.9
Year 2011 Month 1 Week 5,7,놀라운대회스타킹,20.0
Year 2011 Month 2 Week 2,6,드라마스페셜(싸인),19.9
Year 2011 Month 2 Week 3,8,드라마스페셜(싸인),19.1
Year 2011 Month 2 Week 4,8,드라마스페셜(싸인),18.6
Year 2011 Month 3 Week 1,2,드라마스페셜(싸인),23.6
Year 2011 Month 3 Week 2,2,드라마스페셜(싸인),24.3
Year 2011 Month 3 Week 2,10,일일드라마(호박꽃순정),15.7
Year 2011 Month 3 Week 3,10,일일드라마(호박꽃순정),15.4
Year 2011 Month 4 Week 1,6,특별기획(신기생뎐),18.4
Year 2011 Month 4 Week 1,9,일일드라마(호박꽃순정),16.1
Year 2011 Month 4 Week 2,6,특별기획(신기생뎐),18.9
Year 2011 Month 4 Week 2,10,일일드라마(호박꽃순정),15.4
Year 2011 Month 4 Week 3,6,특별기획(신기생뎐),17.7
Year 2011 Month 4 Week 4,6,특별기획(신기생뎐),19.0
Year 2011 Month 4 Week 4,9,SBS월화미니시리즈(마이더스),15.6
Year 2011 Month 5 Week 1,3,SBS스포츠피겨(ISU세계선수권대회<여자프리>),21.7
Year 2011 Month 5 Week 1,8,SBS스포츠피겨(ISU세계선수권대회<여자쇼트>),18.2
Year 2011 Month 5 Week 1,10,특별기획(신기생뎐),16.2
Year 2011 Month 5 Week 2,6,특별기획(신기생뎐),17.3
Year 2011 Month 5 Week 2,9,SBS월화미니시리즈(마이더스),15.7
Year 2011 Month 5 Week 3,7,특별기획(신기생뎐),18.3
Year 2011 Month 5 Week 4,3,특별기획(신기생뎐),19.2
Year 2011 Month 5 Week 5,5,특별기획(신기생뎐),19.4
Year 2011 Month 6 Week 1,2,특별기획(신기생뎐),19.3
Year 2011 Month 6 Week 2,2,특별기획(신기생뎐),22.0
Year 2011 Month 6 Week 3,2,특별기획(신기생뎐),22.0
Year 2011 Month 6 Week 4,2,특별기획(신기생뎐),23.7
Year 2011 Month 7 Week 1,2,특별기획(신기생뎐),23.4
Year 2011 Month 7 Week 1,4,드라마스페셜(시티헌터),18.6
Year 2011 Month 7 Week 2,2,특별기획(신기생뎐),24.2
Year 2011 Month 7 Week 2,5,드라마스페셜(시티헌터),19.2
Year 2011 Month 7 Week 3,1,특별기획(신기생뎐),27.4
Year 2011 Month 7 Week 3,5,드라마스페셜(시티헌터),19.6
Year 2011 Month 7 Week 4,3,드라마스페셜(시티헌터),19.1
Year 2011 Month 7 Week 5,3,드라마스페셜(시티헌터),18.4
Year 2011 Month 7 Week 5,9,SBS월화드라마(무사백동수),15.6
Year 2011 Month 8 Week 1,5,특별기획(여인의향기),18.5
Year 2011 Month 8 Week 1,8,SBS월화드라마(무사백동수),16.9
Year 2011 Month 8 Week 2,5,특별기획(여인의향기),17.6
Year 2011 Month 8 Week 2,8,SBS월화드라마(무사백동수),16.0
Year 2011 Month 8 Week 2,9,드라마스페셜(보스를지켜라),16.0
Year 2011 Month 8 Week 3,4,특별기획(여인의향기),18.2
Year 2011 Month 8 Week 3,5,드라마스페셜(보스를지켜라),17.8
Year 2011 Month 8 Week 3,6,SBS월화드라마(무사백동수),17.5
Year 2011 Month 8 Week 4,3,특별기획(여인의향기),18.8
Year 2011 Month 8 Week 4,7,SBS월화드라마(무사백동수),17.6
Year 2011 Month 8 Week 4,10,드라마스페셜(보스를지켜라),16.4
Year 2011 Month 9 Week 1,6,특별기획(여인의향기),17.9
Year 2011 Month 9 Week 1,7,SBS월화드라마(무사백동수),17.5
Year 2011 Month 9 Week 1,10,주말극장(내사랑내곁에),15.9
Year 2011 Month 9 Week 2,6,SBS월화드라마(무사백동수),17.4
Year 2011 Month 9 Week 2,9,특별기획(여인의향기),15.4
Year 2011 Month 9 Week 2,10,드라마스페셜(보스를지켜라),15.0
Year 2011 Month 9 Week 3,10,주말극장(내사랑내곁에),16.6
Year 2011 Month 9 Week 4,6,SBS월화드라마(무사백동수),18.1
Year 2011 Month 10 Week 1,8,SBS월화드라마(무사백동수),17.0
Year 2011 Month 10 Week 2,10,SBS월화드라마(무사백동수),16.7
Year 2011 Month 10 Week 3,6,SBS대기획(뿌리깊은나무),18.7
Year 2011 Month 10 Week 3,8,SBS월화드라마(무사백동수),17.9
Year 2011 Month 10 Week 4,4,주말극장(내사랑내곁에),19.4
Year 2011 Month 10 Week 4,7,SBS대기획(뿌리깊은나무),18.4
Year 2011 Month 10 Week 5,6,SBS대기획(뿌리깊은나무),19.0
Year 2011 Month 10 Week 5,10,SBS월화드라마(천일의약속),16.3
Year 2011 Month 11 Week 1,6,SBS대기획(뿌리깊은나무),18.8
Year 2011 Month 11 Week 2,3,SBS대기획(뿌리깊은나무),19.5
Year 2011 Month 11 Week 2,6,SBS월화드라마(천일의약속),18.3
Year 2011 Month 11 Week 3,3,SBS대기획(뿌리깊은나무),19.9
Year 2011 Month 11 Week 4,3,SBS대기획(뿌리깊은나무),20.6
Year 2011 Month 11 Week 4,6,일요일이좋다1부(런닝맨),18.0
Year 2011 Month 11 Week 4,9,SBS월화드라마(천일의약속),17.1
Year 2011 Month 12 Week 1,4,SBS대기획(뿌리깊은나무),20.9
Year 2011 Month 12 Week 1,8,SBS월화드라마(천일의약속),16.7
Year 2011 Month 12 Week 2,3,SBS대기획(뿌리깊은나무),21.6
Year 2011 Month 12 Week 2,9,SBS월화드라마(천일의약속),16.3
Year 2011 Month 12 Week 3,3,SBS대기획(뿌리깊은나무),22.3
Year 2011 Month 12 Week 3,10,SBS월화드라마(천일의약속),16.1
Year 2011 Month 12 Week 4,3,SBS대기획(뿌리깊은나무),23.6
Year 2011 Month 12 Week 4,7,SBS월화드라마(천일의약속),18.4
Year 2012 Month 1 Week 2,10,정글의법칙,16.7
Year 2012 Month 1 Week 3,9,일일드라마(내딸꽃님이),15.7
Year 2012 Month 1 Week 4,10,순간포착,16.4
Year 2012 Month 2 Week 1,9,일일드라마(내딸꽃님이),16.3
Year 2012 Month 2 Week 1,10,순간포착,15.5
Year 2012 Month 2 Week 2,7,주말극장(내일이오면),17.7
Year 2012 Month 2 Week 2,10,일일드라마(내딸꽃님이),16.4
Year 2012 Month 2 Week 3,9,주말극장(내일이오면),17.8
Year 2012 Month 2 Week 3,10,순간포착,16.5
Year 2012 Month 2 Week 4,7,SBS월화드라마(샐러리맨초한지),18.0
Year 2012 Month 2 Week 4,9,주말극장(내일이오면),17.5
Year 2012 Month 3 Week 1,4,SBS스포츠축구(브라질월드컵아시아3차예선한국:쿠웨이트),21.1
Year 2012 Month 3 Week 1,7,SBS월화드라마(샐러리맨초한지),19.0
Year 2012 Month 3 Week 1,9,주말극장(내일이오면),18.2
Year 2012 Month 3 Week 2,6,SBS월화드라마(샐러리맨초한지),19.8
Year 2012 Month 3 Week 2,9,주말극장(내일이오면),18.7
Year 2012 Month 3 Week 3,4,SBS월화드라마(샐러리맨초한지),20.4
Year 2012 Month 3 Week 3,7,주말극장(내일이오면),18.0
Year 2012 Month 3 Week 3,10,일일드라마(내딸꽃님이),17.2
Year 2012 Month 3 Week 4,7,주말극장(내일이오면),18.2
Year 2012 Month 3 Week 4,10,아침연속극(태양의신부),16.6
Year 2012 Month 4 Week 1,6,주말극장(내일이오면),17.9
Year 2012 Month 4 Week 1,7,아침연속극(태양의신부),16.9
Year 2012 Month 4 Week 1,8,"일요일이좋다(런닝맨,서바이벌오디션K팝스타)",16.8
Year 2012 Month 4 Week 1,9,일일드라마(내딸꽃님이),16.1
Year 2012 Month 4 Week 2,8,주말극장(내일이오면),15.9
Year 2012 Month 4 Week 2,10,일일드라마(내딸꽃님이),15.7
Year 2012 Month 4 Week 3,6,주말극장(내일이오면),17.5
Year 2012 Month 4 Week 3,9,일일드라마(내딸꽃님이),16.4
Year 2012 Month 4 Week 4,5,주말극장(내일이오면),17.7
Year 2012 Month 4 Week 4,8,"일요일이좋다(런닝맨,서바이벌오디션K팝스타)",17.2
Year 2012 Month 4 Week 4,9,일일드라마(내딸꽃님이),16.7
Year 2012 Month 4 Week 5,7,일일드라마(내딸꽃님이),16.9
Year 2012 Month 4 Week 5,10,"일요일이좋다(런닝맨,서바이벌오디션K팝스타)",14.9
Year 2012 Month 5 Week 1,7,일일드라마(내딸꽃님이),16.3
Year 2012 Month 5 Week 1,8,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",14.7
Year 2012 Month 5 Week 2,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.0
Year 2012 Month 5 Week 2,8,일일드라마(내딸꽃님이),14.8
Year 2012 Month 5 Week 3,6,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",17.0
Year 2012 Month 5 Week 3,8,순간포착,15.2
Year 2012 Month 5 Week 3,9,일일드라마(내딸꽃님이),15.1
Year 2012 Month 5 Week 4,6,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",16.1
Year 2012 Month 5 Week 4,7,순간포착,14.8
Year 2012 Month 5 Week 4,9,드라마스페셜(옥탑방왕세자),13.8
Year 2012 Month 5 Week 4,10,특별기획(신사의품격),13.4
Year 2012 Month 6 Week 1,6,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",17.6
Year 2012 Month 6 Week 1,7,특별기획(신사의품격),14.9
Year 2012 Month 6 Week 2,6,특별기획(신사의품격),16.3
Year 2012 Month 6 Week 2,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.5
Year 2012 Month 6 Week 2,10,순간포착,13.2
Year 2012 Month 6 Week 3,6,특별기획(신사의품격),16.9
Year 2012 Month 6 Week 3,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.5
Year 2012 Month 6 Week 3,9,순간포착,14.5
Year 2012 Month 6 Week 4,3,특별기획(신사의품격),19.5
Year 2012 Month 6 Week 4,8,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.5
Year 2012 Month 6 Week 4,10,SBS월화드라마(추적자THECHASER),12.4
Year 2012 Month 7 Week 1,2,특별기획(신사의품격),21.2
Year 2012 Month 7 Week 1,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",15.6
Year 2012 Month 7 Week 1,10,SBS월화드라마(추적자THECHASER),12.8
Year 2012 Month 7 Week 2,2,특별기획(신사의품격),21.8
Year 2012 Month 7 Week 2,7,"일요일이좋다(김병만의정글의법칙IN바누아투,런닝맨)",17.3
Year 2012 Month 7 Week 2,8,순간포착,16.8
Year 2012 Month 7 Week 2,10,그것이알고싶다,13.7
Year 2012 Month 7 Week 3,2,특별기획(신사의품격),23.6
Year 2012 Month 7 Week 3,6,SBS월화드라마(추적자THECHASER),19.3
Year 2012 Month 7 Week 3,7,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",18.1
Year 2012 Month 7 Week 3,10,드라마스페셜(유령),13.8
Year 2012 Month 7 Week 4,2,특별기획(신사의품격),24.4
Year 2012 Month 7 Week 4,4,SBS월화드라마(추적자THECHASER),21.5
Year 2012 Month 7 Week 4,7,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",17.1
Year 2012 Month 7 Week 4,9,순간포착,14.6
Year 2012 Month 7 Week 5,6,힐링캠프기쁘지아니한가,18.7
Year 2012 Month 7 Week 5,9,드라마스페셜(유령),14.3
Year 2012 Month 8 Week 1,6,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",14.7
Year 2012 Month 8 Week 2,5,특별기획(신사의품격),20.8
Year 2012 Month 8 Week 2,7,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",16.8
Year 2012 Month 8 Week 3,6,"일요일이좋다(정글의법칙IN시베리아,런닝맨)",16.9
Year 2012 Month 9 Week 1,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.3
Year 2012 Month 9 Week 1,8,순간포착,15.1
Year 2012 Month 9 Week 2,6,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.1
Year 2012 Month 9 Week 3,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.2
Year 2012 Month 9 Week 3,8,순간포착,15.4
Year 2012 Month 9 Week 4,8,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",15.2
Year 2012 Month 9 Week 5,7,순간포착,14.9
Year 2012 Month 9 Week 5,8,일일드라마(그래도당신),14.7
Year 2012 Month 9 Week 5,10,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",14.3
Year 2012 Month 10 Week 1,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",15.5
