Period,Ranking,Program,Rate
Year 2013 Month 3 Week 1,10,순간포착,14.7
Year 2013 Month 3 Week 2,6,SBS월화드라마(야왕),17.4
Year 2013 Month 3 Week 2,7,정글의법칙IN뉴질랜드,16.4
Year 2013 Month 3 Week 2,9,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.4
Year 2013 Month 3 Week 3,6,SBS월화드라마(야왕),18.4
Year 2013 Month 3 Week 3,9,정글의법칙IN뉴질랜드,15.6
Year 2013 Month 3 Week 3,10,특별기획(돈의화신),14.9
Year 2013 Month 3 Week 4,7,SBS월화드라마(야왕),18.2
Year 2013 Month 3 Week 4,8,정글의법칙IN뉴질랜드,16.8
Year 2013 Month 3 Week 4,9,특별기획(돈의화신),15.9
Year 2013 Month 3 Week 5,4,SBS월화드라마(야왕),20.4
Year 2013 Month 3 Week 5,10,정글의법칙IN뉴질랜드,15.7
Year 2013 Month 4 Week 1,3,SBS월화드라마(야왕),24.2
Year 2013 Month 4 Week 1,7,정글의법칙IN뉴질랜드,16.2
Year 2013 Month 4 Week 1,9,드라마스페셜(그겨울바람이분다),15.8
Year 2013 Month 4 Week 2,7,정글의법칙IN뉴질랜드,15.8
Year 2013 Month 4 Week 2,9,특별기획(돈의화신),14.7
Year 2013 Month 4 Week 3,7,특별기획(돈의화신),15.6
Year 2013 Month 4 Week 3,10,순간포착,14.3
Year 2013 Month 4 Week 4,7,정글의법칙IN뉴질랜드,15.3
Year 2013 Month 5 Week 1,8,정글의법칙IN뉴질랜드,15.8
Year 2013 Month 5 Week 2,7,정글의법칙IN뉴질랜드,15.4
Year 2013 Month 5 Week 3,6,정글의법칙IN히말라야,15.8
Year 2013 Month 5 Week 4,5,정글의법칙IN히말라야,16.1
Year 2013 Month 6 Week 1,7,정글의법칙IN히말라야,16.5
Year 2013 Month 6 Week 2,9,정글의법칙IN히말라야,14.9
Year 2013 Month 6 Week 3,10,드라마스페셜(너의목소리가들려),15.5
Year 2013 Month 6 Week 4,2,SBS스포츠축구(브라질월드컵아시아최종예선한국:이란),26.7
Year 2013 Month 6 Week 4,7,드라마스페셜(너의목소리가들려),17.0
Year 2013 Month 6 Week 5,5,드라마스페셜(너의목소리가들려),16.3
Year 2013 Month 6 Week 5,9,정글의법칙IN히말라야,14.5
Year 2013 Month 7 Week 1,3,드라마스페셜(너의목소리가들려),18.8
Year 2013 Month 7 Week 1,10,정글의법칙IN히말라야,14.3
Year 2013 Month 7 Week 2,2,드라마스페셜(너의목소리가들려),22.5
Year 2013 Month 7 Week 2,9,정글의법칙IN히말라야,14.5
Year 2013 Month 7 Week 3,2,드라마스페셜(너의목소리가들려),22.3
Year 2013 Month 7 Week 3,9,정글의법칙IN히말라야,13.9
Year 2013 Month 7 Week 4,2,드라마스페셜(너의목소리가들려),23.5
Year 2013 Month 7 Week 4,9,정글의법칙IN캐리비언,14.2
Year 2013 Month 8 Week 1,2,드라마스페셜(너의목소리가들려),22.7
Year 2013 Month 8 Week 1,8,정글의법칙IN캐리비언,15.7
Year 2013 Month 8 Week 2,6,정글의법칙IN캐리비언,17.3
Year 2013 Month 8 Week 2,9,드라마스페셜(주군의태양),14.0
Year 2013 Month 8 Week 3,7,정글의법칙IN캐리비언,16.5
Year 2013 Month 8 Week 3,8,드라마스페셜(주군의태양),16.0
Year 2013 Month 8 Week 4,9,드라마스페셜(주군의태양),16.4
Year 2013 Month 8 Week 4,10,정글의법칙IN캐리비언,15.5
Year 2013 Month 9 Week 1,7,드라마스페셜(주군의태양),17.0
Year 2013 Month 9 Week 2,8,드라마스페셜(주군의태양),17.0
Year 2013 Month 9 Week 3,5,드라마스페셜(주군의태양),18.8
Year 2013 Month 9 Week 3,10,정글의법칙IN마야정글,15.6
Year 2013 Month 9 Week 4,10,드라마스페셜(주군의태양),14.8
Year 2013 Month 9 Week 5,5,드라마스페셜(주군의태양),18.7
Year 2013 Month 10 Week 1,3,드라마스페셜(주군의태양),20.8
Year 2013 Month 10 Week 1,9,순간포착,15.0
Year 2013 Month 11 Week 1,9,정글의법칙IN사바나,14.3
Year 2013 Month 11 Week 2,10,드라마스페셜(상속자들),14.4
Year 2013 Month 11 Week 3,9,드라마스페셜(상속자들),15.7
Year 2013 Month 11 Week 4,3,드라마스페셜(상속자들),21.4
Year 2013 Month 12 Week 1,3,드라마스페셜(상속자들),20.5
Year 2013 Month 12 Week 2,3,드라마스페셜(상속자들),22.7
Year 2013 Month 12 Week 3,3,드라마스페셜(상속자들),25.0
Year 2013 Month 12 Week 4,8,드라마스페셜(별에서온그대),17.0
Year 2013 Month 12 Week 5,3,드라마스페셜(별에서온그대),19.8
Year 2014 Month 1 Week 1,3,드라마스페셜(별에서온그대),23.5
Year 2014 Month 1 Week 1,8,정글의법칙IN미크로네시아,15.6
Year 2014 Month 1 Week 1,10,순간포착,14.7
Year 2014 Month 1 Week 2,3,드라마스페셜(별에서온그대),24.2
Year 2014 Month 1 Week 2,7,정글의법칙IN미크로네시아,16.0
Year 2014 Month 1 Week 2,9,아침연속극(두여자의방),14.4
Year 2014 Month 1 Week 3,3,드라마스페셜(별에서온그대),23.8
Year 2014 Month 1 Week 3,8,아침연속극(두여자의방),14.7
Year 2014 Month 1 Week 3,9,놀라운대회스타킹,14.1
Year 2014 Month 1 Week 4,3,드라마스페셜(별에서온그대),25.5
Year 2014 Month 1 Week 4,8,정글의법칙IN미크로네시아,15.6
Year 2014 Month 1 Week 4,10,특별기획(세번결혼하는여자),14.3
Year 2014 Month 2 Week 1,3,드라마스페셜(별에서온그대),24.8
Year 2014 Month 2 Week 1,10,스타주니어쇼붕어빵,14.2
Year 2014 Month 2 Week 2,3,드라마스페셜(별에서온그대),25.8
Year 2014 Month 2 Week 2,9,정글의법칙IN미크로네시아,15.9
Year 2014 Month 2 Week 3,2,드라마스페셜(별에서온그대),26.4
Year 2014 Month 2 Week 4,2,드라마스페셜(별에서온그대),27.1
Year 2014 Month 2 Week 4,7,정글의법칙IN미크로네시아,16.3
Year 2014 Month 2 Week 4,8,궁금한이야기Y,15.8
Year 2014 Month 2 Week 4,10,특별기획(세번결혼하는여자),15.3
Year 2014 Month 3 Week 1,3,드라마스페셜(별에서온그대),27.1
Year 2014 Month 3 Week 1,7,정글의법칙더헝거게임,16.4
Year 2014 Month 3 Week 1,8,특별기획(세번결혼하는여자),15.7
Year 2014 Month 3 Week 2,6,특별기획(세번결혼하는여자),16.5
Year 2014 Month 3 Week 3,7,특별기획(세번결혼하는여자),16.3
Year 2014 Month 3 Week 4,7,특별기획(세번결혼하는여자),16.4
Year 2014 Month 3 Week 5,6,특별기획(세번결혼하는여자),16.5
Year 2014 Month 4 Week 1,9,정글의법칙IN보르네오,14.0
Year 2014 Month 4 Week 1,10,아침연속극(나만의당신),12.4
Year 2014 Month 4 Week 2,9,정글의법칙IN보르네오,12.8
Year 2014 Month 4 Week 3,8,아침연속극(나만의당신),11.6
Year 2014 Month 4 Week 4,8,아침연속극(나만의당신),11.9
Year 2014 Month 4 Week 4,10,SBS뉴스속보,11.7
Year 2014 Month 5 Week 1,7,아침연속극(나만의당신),13.9
Year 2014 Month 5 Week 1,8,드라마스페셜(쓰리데이즈),13.0
Year 2014 Month 5 Week 2,6,드라마스페셜(너희들은포위됐다),13.2
Year 2014 Month 5 Week 2,7,아침연속극(나만의당신),13.1
Year 2014 Month 5 Week 3,6,아침연속극(나만의당신),13.9
Year 2014 Month 5 Week 3,7,드라마스페셜(너희들은포위됐다),12.5
Year 2014 Month 5 Week 3,9,SBS월화드라마(닥터이방인),12.4
Year 2014 Month 5 Week 3,10,정글의법칙IN브라질,12.2
Year 2014 Month 5 Week 4,9,SBS월화드라마(닥터이방인),13.3
Year 2014 Month 5 Week 4,10,아침연속극(나만의당신),13.3
Year 2014 Month 6 Week 1,7,아침연속극(나만의당신),15.1
Year 2014 Month 6 Week 1,9,드라마스페셜(너희들은포위됐다),13.2
Year 2014 Month 6 Week 1,10,SBS월화드라마(닥터이방인),12.8
Year 2014 Month 6 Week 2,6,아침연속극(나만의당신),15.3
Year 2014 Month 6 Week 3,5,아침연속극(나만의당신),14.9
Year 2014 Month 6 Week 4,8,아침연속극(나만의당신),14.4
Year 2014 Month 6 Week 5,6,아침연속극(나만의당신),15.0
Year 2014 Month 7 Week 1,4,아침연속극(나만의당신),15.8
Year 2014 Month 7 Week 2,5,아침연속극(나만의당신),15.8
Year 2014 Month 7 Week 2,8,정글의법칙IN인도양,13.2
Year 2014 Month 7 Week 3,6,아침연속극(나만의당신),15.0
Year 2014 Month 7 Week 3,8,정글의법칙IN인도양,13.2
Year 2014 Month 7 Week 4,7,정글의법칙IN인도양,12.7
Year 2014 Month 8 Week 4,8,아침연속극(청담동스캔들),13.8
Year 2014 Month 8 Week 5,10,정글의법칙IN인도양,13.2
Year 2014 Month 9 Week 1,10,아침연속극(청담동스캔들),12.8
Year 2014 Month 9 Week 3,9,아침연속극(청담동스캔들),13.6
Year 2014 Month 9 Week 4,8,정글의법칙IN솔로몬,14.4
Year 2014 Month 10 Week 1,9,아침연속극(청담동스캔들),14.6
Year 2014 Month 10 Week 1,10,정글의법칙IN솔로몬,13.9
Year 2014 Month 10 Week 2,9,아침연속극(청담동스캔들),14.2
Year 2014 Month 10 Week 3,7,아침연속극(청담동스캔들),14.9
Year 2014 Month 10 Week 4,8,아침연속극(청담동스캔들),14.7
Year 2014 Month 11 Week 1,10,아침연속극(청담동스캔들),14.7
Year 2014 Month 11 Week 2,9,아침연속극(청담동스캔들),14.7
Year 2014 Month 11 Week 3,8,아침연속극(청담동스캔들),15.3
Year 2014 Month 11 Week 4,9,아침연속극(청담동스캔들),15.0
Year 2014 Month 11 Week 5,4,아침연속극(청담동스캔들),17.6
Year 2014 Month 12 Week 1,4,아침연속극(청담동스캔들),19.4
Year 2014 Month 12 Week 2,4,아침연속극(청담동스캔들),19.3
Year 2014 Month 12 Week 3,4,아침연속극(청담동스캔들),19.7
Year 2014 Month 12 Week 4,4,아침연속극(청담동스캔들),20.9
Year 2015 Month 1 Week 1,5,아침연속극(청담동스캔들),20.5
Year 2015 Month 1 Week 1,10,정글의법칙IN코스타리카,15.6
Year 2015 Month 1 Week 2,9,정글의법칙IN코스타리카,14.7
Year 2015 Month 1 Week 3,10,정글의법칙IN코스타리카,15.5
Year 2015 Month 2 Week 1,8,SBS스포츠축구(아시안컵한국:호주),16.9
Year 2015 Month 2 Week 4,8,SBS월화드라마(펀치),14.4
Year 2015 Month 3 Week 4,9,정글의법칙WITH프렌즈,13.8
Year 2015 Month 4 Week 1,8,정글의법칙IN인도차이나,14.1
Year 2015 Month 5 Week 1,10,아침연속극(황홀한이웃),12.6
Year 2015 Month 8 Week 2,10,드라마스페셜(용팔이),12.9
Year 2015 Month 8 Week 3,6,드라마스페셜(용팔이),15.4
Year 2015 Month 8 Week 4,4,드라마스페셜(용팔이),19.2
Year 2015 Month 8 Week 5,5,드라마스페셜(용팔이),19.9
Year 2015 Month 8 Week 5,10,아침연속극(어머님은내며느리),13.4
Year 2015 Month 9 Week 1,3,드라마스페셜(용팔이),17.2
Year 2015 Month 9 Week 2,3,드라마스페셜(용팔이),19.2
Year 2015 Month 9 Week 2,9,아침연속극(어머님은내며느리),13.3
Year 2015 Month 9 Week 3,3,드라마스페셜(용팔이),21.2
Year 2015 Month 9 Week 3,10,아침연속극(어머님은내며느리),13.6
Year 2015 Month 9 Week 4,3,드라마스페셜(용팔이),20.1
Year 2015 Month 9 Week 4,7,SBS월화드라마(미세스캅),14.9
Year 2015 Month 9 Week 4,8,아침연속극(어머님은내며느리),13.7
Year 2015 Month 9 Week 4,9,정글의법칙IN니카라과,13.5
Year 2015 Month 10 Week 1,4,드라마스페셜(용팔이),19.4
Year 2015 Month 10 Week 1,7,SBS월화드라마(미세스캅),14.6
Year 2015 Month 10 Week 1,8,일일드라마(돌아온황금복),14.0
Year 2015 Month 10 Week 1,9,정글의법칙IN니카라과,13.7
Year 2015 Month 10 Week 2,9,아침연속극(어머님은내며느리),13.8
Year 2015 Month 10 Week 2,10,일일드라마(돌아온황금복),13.4
Year 2015 Month 10 Week 3,6,일일드라마(돌아온황금복),15.0
Year 2015 Month 10 Week 3,9,아침연속극(어머님은내며느리),13.5
Year 2015 Month 10 Week 4,7,일일드라마(돌아온황금복),14.8
Year 2015 Month 10 Week 4,8,창사특별기획(육룡이나르샤),14.5
Year 2015 Month 11 Week 1,6,일일드라마(돌아온황금복),16.0
Year 2015 Month 11 Week 1,10,아침연속극(어머님은내며느리),13.9
Year 2015 Month 11 Week 2,7,일일드라마(돌아온황금복),15.5
Year 2015 Month 11 Week 3,7,일일드라마(돌아온황금복),14.9
Year 2015 Month 11 Week 3,10,창사특별기획(육룡이나르샤),13.7
Year 2015 Month 11 Week 4,4,SBS스포츠야구(프리미어12한국:미국),18.0
Year 2015 Month 11 Week 4,8,일일드라마(돌아온황금복),14.7
Year 2015 Month 11 Week 5,7,아침연속극(어머님은내며느리),14.6
Year 2015 Month 11 Week 5,8,일일드라마(돌아온황금복),14.4
Year 2015 Month 11 Week 5,10,창사특별기획(육룡이나르샤),13.6
Year 2015 Month 12 Week 1,6,일일드라마(돌아온황금복),15.2
Year 2015 Month 12 Week 1,7,아침연속극(어머님은내며느리),14.4
Year 2015 Month 12 Week 1,9,창사특별기획(육룡이나르샤),13.8
Year 2015 Month 12 Week 2,5,일일드라마(돌아온황금복),16.6
Year 2015 Month 12 Week 2,7,아침연속극(어머님은내며느리),14.6
Year 2015 Month 12 Week 2,9,창사특별기획(육룡이나르샤),13.3
Year 2015 Month 12 Week 3,6,아침연속극(어머님은내며느리),15.4
Year 2015 Month 12 Week 3,9,정글의법칙보물섬사모아,13.9
Year 2015 Month 12 Week 3,10,창사특별기획(육룡이나르샤),13.6
Year 2015 Month 12 Week 4,9,아침연속극(어머님은내며느리),14.6
Year 2016 Month 1 Week 1,9,아침연속극(어머님은내며느리),14.5
Year 2016 Month 1 Week 2,7,드라마스페셜(리멤버아들의전쟁),15.6
Year 2016 Month 1 Week 2,10,창사특별기획(육룡이나르샤),14.2
Year 2016 Month 1 Week 3,7,드라마스페셜(리멤버아들의전쟁),16.4
Year 2016 Month 1 Week 3,8,창사특별기획(육룡이나르샤),15.4
Year 2016 Month 1 Week 4,8,드라마스페셜(리멤버아들의전쟁),15.8
Year 2016 Month 1 Week 5,9,드라마스페셜(리멤버아들의전쟁),15.4
Year 2016 Month 1 Week 5,10,창사특별기획(육룡이나르샤),15.1
Year 2016 Month 2 Week 1,6,드라마스페셜(리멤버아들의전쟁),16.7
Year 2016 Month 2 Week 1,7,창사특별기획(육룡이나르샤),16.5
Year 2016 Month 2 Week 2,6,드라마스페셜(리멤버아들의전쟁),17.1
Year 2016 Month 2 Week 3,5,드라마스페셜(리멤버아들의전쟁),19.2
Year 2016 Month 2 Week 3,8,창사특별기획(육룡이나르샤),15.1
Year 2016 Month 2 Week 4,8,창사특별기획(육룡이나르샤),15.2
Year 2016 Month 3 Week 1,7,창사특별기획(육룡이나르샤),16.1
Year 2016 Month 3 Week 2,7,창사특별기획(육룡이나르샤),16.1
Year 2016 Month 3 Week 2,8,정글의법칙샵TONGA,14.9
Year 2016 Month 3 Week 3,7,창사특별기획(육룡이나르샤),16.4
Year 2016 Month 3 Week 3,10,정글의법칙샵TONGA,14.7
Year 2016 Month 3 Week 4,7,창사특별기획(육룡이나르샤),16.8
Year 2016 Month 4 Week 1,10,일요일이좋다2부(서바이벌오디션K팝스타5),13.7
Year 2016 Month 4 Week 2,9,정글의법칙샵TONGA,13.7
Year 2016 Month 5 Week 1,9,정글의법칙샵TONGA,13.4
Year 2016 Month 5 Week 2,8,정글의법칙파푸아뉴기니,12.8
Year 2016 Month 6 Week 1,10,정글의법칙파푸아뉴기니,12.8
Year 2016 Month 6 Week 3,8,주말특별기획(미녀공심이),13.1
Year 2016 Month 6 Week 4,7,정글의법칙파푸아뉴기니,13.7
Year 2016 Month 6 Week 4,8,월화드라마(닥터스),13.5
Year 2016 Month 6 Week 4,9,주말특별기획(미녀공심이),13.3
Year 2016 Month 7 Week 1,6,월화드라마(닥터스),15.0
Year 2016 Month 7 Week 2,3,월화드라마(닥터스),19.0
Year 2016 Month 7 Week 2,10,주말특별기획(미녀공심이),13.0
Year 2016 Month 7 Week 3,4,월화드라마(닥터스),19.0
Year 2016 Month 7 Week 3,9,주말특별기획(미녀공심이),14.9
Year 2016 Month 7 Week 4,4,월화드라마(닥터스),19.4
Year 2016 Month 7 Week 5,4,월화드라마(닥터스),19.0
Year 2016 Month 8 Week 1,3,월화드라마(닥터스),19.1
Year 2016 Month 8 Week 2,2,월화드라마(닥터스),20.9
Year 2016 Month 8 Week 3,3,월화드라마(닥터스),20.8
Year 2016 Month 8 Week 4,4,월화드라마(닥터스),19.2
Year 2016 Month 9 Week 3,6,추석특선대작(암살2부),16.6
Year 2016 Month 9 Week 4,8,정글의법칙몽골,14.0
Year 2016 Month 9 Week 4,10,드라마스페셜(질투의화신),12.8
Year 2016 Month 10 Week 1,7,정글의법칙몽골,14.3
Year 2016 Month 10 Week 2,7,정글의법칙몽골,15.3
Year 2016 Month 10 Week 4,10,아침연속극(사랑이오네요),12.3
Year 2016 Month 10 Week 5,7,아침연속극(사랑이오네요),12.7
Year 2016 Month 10 Week 5,10,정글의법칙몽골,11.8
Year 2016 Month 10 Week 5,10,미운우리새끼다시쓰는육아일기,11.8
Year 2016 Month 11 Week 1,9,아침연속극(사랑이오네요),12.4
Year 2016 Month 11 Week 2,6,아침연속극(사랑이오네요),13.1
Year 2016 Month 11 Week 3,4,그것이알고싶다,19.0
Year 2016 Month 11 Week 3,6,드라마스페셜(푸른바다의전설),15.8
Year 2016 Month 11 Week 3,9,아침연속극(사랑이오네요),13.3
Year 2016 Month 11 Week 4,4,월화드라마(낭만닥터김사부),17.7
Year 2016 Month 11 Week 4,6,드라마스페셜(푸른바다의전설),16.4
Year 2016 Month 11 Week 4,9,그것이알고싶다,13.9
Year 2016 Month 11 Week 4,9,아침연속극(사랑이오네요),13.9
Year 2016 Month 12 Week 1,2,월화드라마(낭만닥터김사부),20.3
Year 2016 Month 12 Week 1,4,드라마스페셜(푸른바다의전설),17.9
Year 2016 Month 12 Week 1,8,아침연속극(사랑이오네요),14.0
Year 2016 Month 12 Week 1,9,K팝스타더라스트찬스,13.5
Year 2016 Month 12 Week 2,2,월화드라마(낭만닥터김사부),21.6
Year 2016 Month 12 Week 2,4,드라마스페셜(푸른바다의전설),17.4
Year 2016 Month 12 Week 2,7,K팝스타더라스트찬스,14.8
Year 2016 Month 12 Week 2,8,아침연속극(사랑이오네요),14.2
Year 2016 Month 12 Week 3,2,월화드라마(낭만닥터김사부),22.7
Year 2016 Month 12 Week 3,4,드라마스페셜(푸른바다의전설),17.0
Year 2016 Month 12 Week 3,6,그것이알고싶다,14.9
Year 2016 Month 12 Week 3,8,아침연속극(사랑이오네요),14.1
Year 2016 Month 12 Week 3,9,주말드라마(우리갑순이),13.8
Year 2016 Month 12 Week 3,10,K팝스타더라스트찬스,13.6
Year 2016 Month 12 Week 4,2,월화드라마(낭만닥터김사부),22.7
Year 2016 Month 12 Week 4,4,드라마스페셜(푸른바다의전설),17.0
Year 2017 Month 1 Week 1,2,월화드라마(낭만닥터김사부),23.6
Year 2017 Month 1 Week 1,5,드라마스페셜(푸른바다의전설),18.0
Year 2017 Month 1 Week 1,9,정글의법칙IN코타마나도,14.6
Year 2017 Month 1 Week 1,9,그것이알고싶다,14.6
Year 2017 Month 1 Week 2,2,월화드라마(낭만닥터김사부),26.4
Year 2017 Month 1 Week 2,4,드라마스페셜(푸른바다의전설),19.9
Year 2017 Month 1 Week 2,10,K팝스타더라스트찬스,14.4
Year 2017 Month 1 Week 3,2,월화드라마(낭만닥터김사부),27.3
Year 2017 Month 1 Week 3,4,드라마스페셜(푸른바다의전설),19.6
Year 2017 Month 1 Week 3,9,K팝스타더라스트찬스,14.8
Year 2017 Month 1 Week 3,9,정글의법칙IN코타마나도,14.8
Year 2017 Month 1 Week 4,3,드라마스페셜(푸른바다의전설),17.9
Year 2017 Month 1 Week 4,5,설날특선대작(검사외전2부),16.7
Year 2017 Month 1 Week 4,7,드라마스페셜(사임당빛의일기),16.0
Year 2017 Month 1 Week 4,10,월화드라마(피고인),14.7
Year 2017 Month 2 Week 1,5,월화드라마(피고인),18.0
Year 2017 Month 2 Week 1,6,그것이알고싶다,15.5
Year 2017 Month 2 Week 1,9,정글의법칙IN코타마나도,14.5
Year 2017 Month 2 Week 1,10,K팝스타더라스트찬스,14.2
Year 2017 Month 2 Week 2,5,월화드라마(피고인),18.6
Year 2017 Month 2 Week 2,8,미운우리새끼다시쓰는육아일기,15.0
Year 2017 Month 2 Week 2,9,K팝스타더라스트찬스,14.5
Year 2017 Month 2 Week 3,4,월화드라마(피고인),21.5
Year 2017 Month 2 Week 3,9,정글의법칙IN코타마나도,13.9
Year 2017 Month 2 Week 3,10,미운우리새끼다시쓰는육아일기,13.2
Year 2017 Month 2 Week 4,4,월화드라마(피고인),21.8
Year 2017 Month 2 Week 4,9,K팝스타더라스트찬스,13.8
Year 2017 Month 2 Week 4,10,주말드라마(우리갑순이),13.6
Year 2017 Month 3 Week 1,3,월화드라마(피고인),23.1
Year 2017 Month 3 Week 1,7,주말드라마(우리갑순이),15.5
Year 2017 Month 3 Week 1,8,K팝스타더라스트찬스,14.7
Year 2017 Month 3 Week 2,2,월화드라마(피고인),24.3
Year 2017 Month 3 Week 2,7,주말드라마(우리갑순이),16.1
Year 2017 Month 3 Week 2,8,K팝스타더라스트찬스,15.4
Year 2017 Month 3 Week 2,9,순간포착,12.4
Year 2017 Month 3 Week 2,10,그것이알고싶다,11.9
Year 2017 Month 3 Week 3,2,월화드라마(피고인),25.5
Year 2017 Month 3 Week 3,7,주말드라마(우리갑순이),16.7
Year 2017 Month 3 Week 3,9,K팝스타더라스트찬스,14.7
Year 2017 Month 3 Week 4,1,월화드라마(피고인),27.6
Year 2017 Month 3 Week 4,7,주말드라마(우리갑순이),16.8
Year 2017 Month 3 Week 4,8,K팝스타더라스트찬스,15.7
Year 2017 Month 4 Week 1,6,주말드라마(우리갑순이),16.2
Year 2017 Month 4 Week 1,7,K팝스타더라스트찬스,14.8
Year 2017 Month 4 Week 1,9,월화드라마(귓속말),13.7
Year 2017 Month 4 Week 1,10,정글의법칙IN수마트라,13.5
Year 2017 Month 4 Week 2,4,주말드라마(우리갑순이),17.4
Year 2017 Month 4 Week 2,6,K팝스타더라스트찬스,15.7
Year 2017 Month 4 Week 2,7,월화드라마(귓속말),14.4
Year 2017 Month 4 Week 3,5,미운우리새끼다시쓰는육아일기,16.6
Year 2017 Month 4 Week 3,6,월화드라마(귓속말),14.9
Year 2017 Month 4 Week 3,10,국민의선택대통령후보자초청토론1부,11.6
Year 2017 Month 4 Week 4,6,미운우리새끼다시쓰는육아일기,16.5
Year 2017 Month 4 Week 4,7,월화드라마(귓속말),15.5
Year 2017 Month 4 Week 5,3,미운우리새끼다시쓰는육아일기,15.9
Year 2017 Month 4 Week 5,7,월화드라마(귓속말),13.7
Year 2017 Month 4 Week 5,9,아침연속극(아임쏘리강남구),11.6
Year 2017 Month 5 Week 1,3,미운우리새끼다시쓰는육아일기,17.7
Year 2017 Month 5 Week 1,4,월화드라마(귓속말),16.0
Year 2017 Month 5 Week 2,3,미운우리새끼다시쓰는육아일기,16.4
Year 2017 Month 5 Week 2,5,월화드라마(귓속말),15.8
Year 2017 Month 5 Week 2,8,TV동물농장,12.2
Year 2017 Month 5 Week 3,4,월화드라마(귓속말),16.7
Year 2017 Month 5 Week 3,5,미운우리새끼다시쓰는육아일기,16.4
Year 2017 Month 5 Week 4,3,월화드라마(귓속말),19.8
Year 2017 Month 5 Week 4,4,미운우리새끼다시쓰는육아일기,18.4
Year 2017 Month 5 Week 4,7,정글의법칙와일드뉴질랜드,13.0
Year 2017 Month 5 Week 4,9,아침연속극(아임쏘리강남구),12.4
Year 2017 Month 6 Week 1,3,미운우리새끼다시쓰는육아일기,18.2
Year 2017 Month 6 Week 1,6,정글의법칙와일드뉴질랜드,13.4
Year 2017 Month 6 Week 1,7,아침연속극(아임쏘리강남구),12.9
Year 2017 Month 6 Week 2,3,미운우리새끼다시쓰는육아일기,17.0
Year 2017 Month 6 Week 2,6,아침연속극(아임쏘리강남구),12.4
Year 2017 Month 6 Week 2,7,정글의법칙와일드뉴질랜드,12.3
Year 2017 Month 6 Week 3,3,미운우리새끼다시쓰는육아일기,16.6
Year 2017 Month 6 Week 3,10,정글의법칙와일드뉴질랜드,12.2
Year 2017 Month 6 Week 4,4,미운우리새끼다시쓰는육아일기,16.0
Year 2017 Month 6 Week 4,8,정글의법칙와일드뉴질랜드,12.7
Year 2017 Month 7 Week 1,3,미운우리새끼다시쓰는육아일기,16.4
Year 2017 Month 7 Week 1,6,정글의법칙와일드뉴질랜드,14.6
Year 2017 Month 7 Week 2,4,미운우리새끼다시쓰는육아일기,15.0
Year 2017 Month 7 Week 2,6,정글의법칙와일드뉴질랜드,14.5
Year 2017 Month 7 Week 3,6,정글의법칙와일드뉴질랜드,14.6
Year 2017 Month 7 Week 3,7,미운우리새끼다시쓰는육아일기,14.4
Year 2017 Month 7 Week 4,5,미운우리새끼다시쓰는육아일기,15.2
Year 2017 Month 7 Week 4,7,특별기획(언니는살아있다),14.2
Year 2017 Month 7 Week 4,8,정글의법칙INKOMODO,14.0
Year 2017 Month 7 Week 5,6,미운우리새끼다시쓰는육아일기,13.7
Year 2017 Month 7 Week 5,8,정글의법칙INKOMODO,13.0
Year 2017 Month 7 Week 5,9,특별기획(언니는살아있다),12.7
Year 2017 Month 7 Week 5,10,월화드라마(조작),11.8
Year 2017 Month 8 Week 1,4,미운우리새끼다시쓰는육아일기,16.4
Year 2017 Month 8 Week 1,7,특별기획(언니는살아있다),14.1
Year 2017 Month 8 Week 1,9,월화드라마(조작),11.3
Year 2017 Month 8 Week 2,4,미운우리새끼다시쓰는육아일기,15.6
Year 2017 Month 8 Week 2,6,특별기획(언니는살아있다),13.9
Year 2017 Month 8 Week 3,5,특별기획(언니는살아있다),16.1
Year 2017 Month 8 Week 3,6,미운우리새끼다시쓰는육아일기,15.0
Year 2017 Month 8 Week 4,4,특별기획(언니는살아있다),15.0
Year 2017 Month 8 Week 4,7,미운우리새끼다시쓰는육아일기,14.0
Year 2017 Month 9 Week 1,4,특별기획(언니는살아있다),16.7
Year 2017 Month 9 Week 1,6,미운우리새끼다시쓰는육아일기,13.3
Year 2017 Month 9 Week 1,9,정글의법칙INKOMODO,11.3
Year 2017 Month 9 Week 1,9,아침연속극(달콤한원수),11.3
Year 2017 Month 9 Week 2,4,특별기획(언니는살아있다),17.3
Year 2017 Month 9 Week 2,5,미운우리새끼다시쓰는육아일기,15.7
Year 2017 Month 9 Week 3,4,특별기획(언니는살아있다),18.4
Year 2017 Month 9 Week 3,5,미운우리새끼다시쓰는육아일기,16.4
Year 2017 Month 9 Week 3,9,아침연속극(달콤한원수),11.5
Year 2017 Month 9 Week 3,9,월화드라마(조작),11.5
Year 2017 Month 9 Week 4,3,특별기획(언니는살아있다),17.4
Year 2017 Month 9 Week 4,4,미운우리새끼다시쓰는육아일기,16.2
Year 2017 Month 9 Week 4,8,아침연속극(달콤한원수),11.9
Year 2017 Month 10 Week 1,3,특별기획(언니는살아있다),18.5
Year 2017 Month 10 Week 1,4,미운우리새끼다시쓰는육아일기,17.6
Year 2017 Month 10 Week 1,8,아침연속극(달콤한원수),13.0
Year 2017 Month 10 Week 2,3,미운우리새끼다시쓰는육아일기,17.6
Year 2017 Month 10 Week 2,4,특별기획(언니는살아있다),17.5
Year 2017 Month 10 Week 3,2,특별기획(언니는살아있다),20.9
